Invoice Id,Invoice Date,Currency,Customer,Qty,Unit,Gross,Discount,Other Charges,CENTRAL SALES TAX PAYABLE - 2.00%,CENTRAL SALES TAX PAYABLE - 5%,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,,Net Amount
SI001366,03-06-2015,INR,Avisor India Pvt. Ltd,74.170,KG,39136.184,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39136.184
SI001367,03-06-2015,INR,Kanik Electronics Pvt Ltd,778.065,KG,401233.896,0.000,0.000,9028.000,0.000,50154.000,0.000,0.000,0.000,460415.896
SI001368,03-06-2015,INR,G K WINDING WIRES ,1920.445,KG,920661.333,0.000,0.000,0.000,0.000,115083.000,0.000,0.000,0.000,1035744.333
SI001369,03-06-2015,INR,G K WINDING WIRES ,464.970,KG,144196.496,0.000,0.000,0.000,0.000,18025.000,0.000,0.000,0.000,162221.496
SI001370,03-06-2015,INR,G K WINDING WIRES ,1291.075,KG,661227.398,0.000,0.000,0.000,0.000,82654.000,0.000,0.000,0.000,743881.398
SI001373,04-06-2015,INR,Denso India Ltd.,242.000,KG,118369.460,0.000,0.000,0.000,0.000,14796.000,5327.000,1332.000,0.000,139824.460
SI001374,04-06-2015,INR,Denso India Ltd.,466.000,KG,227934.580,0.000,0.000,0.000,0.000,28492.000,10257.000,2564.000,0.000,269247.580
SI001375,04-06-2015,INR,Denso India Ltd.,338.000,KG,169043.940,0.000,0.000,0.000,0.000,21130.000,7607.000,1902.000,0.000,199682.940
Invoice Id,Invoice Date,Currency,Customer,Qty,Unit,Gross,Discount,Other Charges,CENTRAL SALES TAX PAYABLE - 2.00%,CENTRAL SALES TAX PAYABLE - 5%,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,,Net Amount
SI001376,04-06-2015,INR,Denso India Ltd.,152.000,KG,74347.760,0.000,0.000,0.000,0.000,9293.000,3346.000,836.000,0.000,87822.760
SI001377,04-06-2015,INR,Denso India Ltd.,217.000,KG,108311.210,0.000,0.000,0.000,0.000,13539.000,4874.000,1219.000,0.000,127943.210
SI001378,04-06-2015,INR,Denso India Ltd.,473.000,KG,236088.490,0.000,0.000,0.000,0.000,29511.000,10624.000,2656.000,0.000,278879.490
SI001379,04-06-2015,INR,Denso India Ltd.,165.000,KG,85821.450,0.000,0.000,0.000,0.000,10728.000,3862.000,965.000,0.000,101376.450
SI001380,04-06-2015,INR,Denso India Ltd.,85.000,KG,44211.050,0.000,0.000,0.000,0.000,5526.000,1989.000,497.000,0.000,52223.050
SI001381,04-06-2015,INR,Denso India Ltd.,553.000,KG,272147.890,0.000,0.000,0.000,0.000,34018.000,12247.000,3062.000,0.000,321474.890
SI001383,04-06-2015,INR,YMD ELECTROMAC PVT. ,490.810,KG,261677.084,0.000,0.000,0.000,0.000,32709.000,11775.000,2945.000,0.000,309106.084
SI001384,04-06-2015,INR,HAVELLS INDIA LTD ( ,456.330,KG,236273.984,0.000,0.000,5316.000,0.000,29534.000,0.000,0.000,0.000,271123.984
SI001385,04-06-2015,INR,DIXON TECHNOLOGOES,492.935,KG,263391.211,0.000,0.000,0.000,0.000,32923.000,11853.000,2964.000,0.000,311131.211
SI001386,04-06-2015,INR,DIXON TECHNOLOGOES,221.135,KG,122267.753,0.000,0.000,0.000,0.000,15283.000,5502.000,1376.000,0.000,144428.753
