Invoice No,Invoice Date,Supplier Name,Item Description,Unit,Quantity,Currency,Gross Amount,Discount,,CST PURCHASE @1%,CST PURCHASE @2%,EXCISE ON PURCHASE 12.50%,INPUT VAT ADDITIONAL. - 1% ,INPUT VAT - 4.00% UP,EXCISE ON PURCHASE 12.50%,Net Amount,,,265588.32,,
PB0000025,13-04-2015,Hindalco,COPPER WIRE / ROD (CENTRAL),KG,3002,INDIAN RUPEE,1251834,0,0,14083,0,156479,0,0,156479,1422396,,,,,
PB0000026,13-04-2015,Hindalco,COPPER WIRE / ROD (CENTRAL),KG,5762,INDIAN RUPEE,2402754,0,0,27031,0,300344,0,0,300344,2730129,,,,,
PB0000027,13-04-2015,Hindalco,COPPER WIRE / ROD,KG,6034,INDIAN RUPEE,2516178,0,0,0,0,314522,28307,113228,314522,2972235,,,,,
PB0000029,14-04-2015,Hindalco,COPPER WIRE / ROD,KG,1090,INDIAN RUPEE,457393.43,545.11,0,0,0,57174,5146,20583,57174,539751.32,,,,,
PB0000030,14-04-2015,Hindalco,COPPER WIRE / ROD,KG,2355,INDIAN RUPEE,988221.58,1177.73,0,0,0,123528,11117,44470,123528,1166158.85,,,,,
PB0000031,14-04-2015,Hindalco,COPPER WIRE / ROD,KG,2992,INDIAN RUPEE,1247664,0,0,0,0,155958,14036,56145,155958,1473803,,,,,
PB0000032,14-04-2015,Hindalco,COPPER WIRE / ROD,KG,2725,INDIAN RUPEE,1143483.58,1362.77,0,0,0,142935,12864,51457,142935,1349376.81,,,,,
PB0000033,14-04-2015,Hindalco,COPPER WIRE / ROD,KG,2981,INDIAN RUPEE,1243077,0,0,0,0,155385,13985,55938,155385,1468385,,,,,
PB0000034,14-04-2015,Hindalco,COPPER WIRE / ROD,KG,2963,INDIAN RUPEE,1243354.8,1481.79,0,0,0,155419,13988,55951,155419,1467231.01,,,,,
PB0000035,14-04-2015,Vikas Spool PVt. Ltd,PLAS SPOOL PT-04 ABS NP,PCS,500,INDIAN RUPEE,18000,0,0,0,405,2250,0,0,2250,20655,,,,,
,,,PLAS SPOOL PT-(1-2)/ 130MM,PCS,1000,INDIAN RUPEE,7750,0,0,0,174,969,0,0,969,8893,,,,,
,,,PLAS SPOOL PT-10,PCS,2250,INDIAN RUPEE,79875,0,0,0,1797,9984,0,0,9984,91656,,,,,
,,,PLAS SPOOL PT-04,PCS,1000,INDIAN RUPEE,19000,0,0,0,428,2375,0,0,2375,21803,,,,,
PB0000036,14-04-2015,Hindalco,COPPER WIRE / ROD,KG,3094,INDIAN RUPEE,1298325.94,1547.3,0,0,0,162291,14606,58425,162291,1532100.63,,,,,
PB0000037,14-04-2015,SSK CHEMICALS PVT. LTD.,VAR-HIGH SPEED,KGS,3150,INDIAN RUPEE,283500,0,0,0,6379,35438,0,0,35438,325317,,,,,
PB0000038,14-04-2015,Hindalco,COPPER WIRE / ROD,KG,3076,INDIAN RUPEE,1290772.65,1538.3,0,0,0,161347,14521,58085,161347,1523187.35,,,,,
PB0000039,14-04-2015,Hindalco,COPPER WIRE / ROD,KG,6038,INDIAN RUPEE,2517846,0,0,0,0,314731,28326,113303,314731,2974206,,,,,
PB0000040,14-04-2015,Hindalco,COPPER WIRE / ROD,KG,3038,INDIAN RUPEE,1266846,0,0,0,0,158356,14252,57008,158356,1496462,,,,,
PB0000041,14-04-2015,Hindalco,COPPER WIRE / ROD,KG,2978,INDIAN RUPEE,1241826,0,0,0,0,155228,13971,55882,155228,1466907,,,,,
PB0000042,15-04-2015,Bharat Box Company,CORRUGATED BOX-PT-10 INTERLOCK,PCS,1503,INDIAN RUPEE,19539,0,0,0,0,0,195,782,0,20516,,,,,
PB0000043,15-04-2015,Hindalco,COPPER WIRE / ROD,KG,2971,INDIAN RUPEE,1238907,0,0,0,0,154863,13938,55751,154863,1463459,,,,,
PB0000044,15-04-2015,Hindalco,COPPER WIRE / ROD,KG,2973,INDIAN RUPEE,1239741,0,0,0,0,154968,13947,55788,154968,1464444,,,,,
PB0000045,15-04-2015,Hindalco,COPPER WIRE / ROD,KG,2974,INDIAN RUPEE,1240158,0,0,0,0,155020,13952,55807,155020,1464937,,,,,
PB0000046,15-04-2015,Hindalco,COPPER WIRE / ROD,KG,2970,INDIAN RUPEE,1238490,0,0,0,0,154811,13933,55732,154811,1462966,,,,,
PB0000047,16-04-2015,Hindalco,COPPER WIRE / ROD (CENTRAL),KG,9034,INDIAN RUPEE,3767178,0,0,42381,0,470897,0,0,470897,4280456,,,,,
PB0000049,16-04-2015,Hindalco,COPPER WIRE / ROD,KG,2966,INDIAN RUPEE,1236822,0,0,0,0,154603,13914,55657,154603,1460996,,,,,
PB0000050,16-04-2015,Hindalco,COPPER WIRE / ROD,KG,2984,INDIAN RUPEE,1244328,0,0,0,0,155541,13999,55995,155541,1469863,,,,,
PB0000051,16-04-2015,Hindalco,COPPER WIRE / ROD,KG,2487,INDIAN RUPEE,1037079,0,0,0,0,129635,11667,46669,129635,1225050,,,,,
PB0000052,16-04-2015,Hindalco,COPPER WIRE / ROD,KG,2125,INDIAN RUPEE,886125,0,0,0,0,110766,9969,39876,110766,1046736,,,,,
