Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Central Sales Tax Payable - 2.00%,Cst Purchase @1%,Cst Purchase @2%,Excise On Purchase 12.50%,Excise On Purchase @14%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,
PB0000151,13-05-2015,Hindalco,RCPT0000000060,DGH/15000361,09-05-2015,MRN-382,09-05-2015,INR,COPPER WIRE / ROD,KG,6015.00,2568405.00,3007.50,0.00,0.00,0.00,321051.00,0.00,0.00,115578.00,0.00,28895.00,0.00
PB0000152,13-05-2015,Hindalco,RCPT0000000025,DCR/15000808,09-05-2015,MRN-384,10-05-2015,INR,COPPER WIRE / ROD,KG,5977.00,2552179.00,0.00,0.00,28712.00,0.00,319022.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000153,13-05-2015,Hindalco,RCPT0000000026,DCR/15000798,09-05-2015,MRN-385,10-05-2015,INR,COPPER WIRE / ROD,KG,5960.00,2544920.00,0.00,0.00,28630.00,0.00,318115.00,0.00,0.00,0.00,0.00,0.00,0.00
Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Central Sales Tax Payable - 2.00%,Cst Purchase @1%,Cst Purchase @2%,Excise On Purchase 12.50%,Excise On Purchase @14%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,
PB0000154,13-05-2015,Hindalco,RCPT0000000061,DGH/15000365,11-05-2015,MRN-398,11-05-2015,INR,COPPER WIRE / ROD,KG,6008.00,2565416.00,3004.00,0.00,0.00,0.00,320677.00,0.00,0.00,115444.00,0.00,28861.00,0.00
PB0000155,13-05-2015,Hindalco,RCPT0000000062,DGH/15000366,11-05-2015,MRN-399,11-05-2015,INR,COPPER WIRE / ROD,KG,6115.00,2611105.00,3057.50,0.00,0.00,0.00,326388.00,0.00,0.00,117500.00,0.00,29375.00,0.00
PB0000156,13-05-2015,Hindalco,RCPT0000000063,DGH/15000370,12-05-2015,MRN-408,12-05-2015,INR,COPPER WIRE / ROD,KG,3803.00,1623881.00,1901.50,0.00,0.00,0.00,202985.00,0.00,0.00,73075.00,0.00,18269.00,0.00
PB0000157,13-05-2015,Hindalco,RCPT0000000064,DGH/15000371,12-05-2015,MRN-409,12-05-2015,INR,COPPER WIRE / ROD,KG,2029.00,866383.00,1014.50,0.00,0.00,0.00,108298.00,0.00,0.00,38987.00,0.00,9747.00,0.00
PB0000158,14-05-2015,Ganesh Electricals,,MRN/293 BILL NO.238,02-05-2015,,,INR,ELECTRICAL-MISC,PCS,30.00,1650.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,0.00,17.00,0.00
PB0000159,14-05-2015,KHUSI ENTERPRISES,,MRN/314 BILL 109,05-05-2015,,,INR,WRAPPER- MISC.,KG,750.00,1462.50,0.00,0.00,0.00,0.00,183.00,0.00,0.00,66.00,0.00,16.00,0.00
PB0000160,14-05-2015,Arvind Bearing & Mill Store,RCPT0000000023,322,05-05-2015,MRN315,05-05-2015,INR,WELDING ROD,PCS,3.00,1350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,14.00,0.00
PB0000161,14-05-2015,SHRI BAL JI TIMBER & PLYWOOD,,MRN-326 BILL 6,05-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,5062.00,0.00,0.00,0.00,0.00,0.00,0.00,633.00,0.00,76.00,0.00,0.00
PB0000162,14-05-2015,Savitri Enterprises,,MRN-327 BILL 191,05-05-2015,,,INR,MISC. BUILDING MATERIALS,KG,1.00,34640.00,0.00,0.00,0.00,0.00,0.00,0.00,4330.00,0.00,520.00,0.00,0.00
