Voucher Id,Invoice ,Invoice ,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currenc,Group,Item Description,Unit,Quantity,Gross Amount,Discount,Additional Custom ,Basic Custom Duty,Basic Custom Duty ,Basic Custom Duty ,Central Sales Tax ,Cst Purchase @1%,Cst Purchase @2%,Cvd,Ec On Purchase ,Excise On ,Excise On ,Excise On ,Hec On Purchase ,Input Vat - 12.50% ,Input Vat - 4.00% ,Input Vat ,Input Vat ,
PB000045,PB0000038,14-04-2015,Hindalco,RCPT0000000017,DGH/15000041,14-04-2015,,,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,3076.00,1290772.65,1538.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161347.00,0.00,0.00,0.00,58085.00,0.00,14521.00,0.00
PB000046,PB0000036,14-04-2015,Hindalco,RCPT0000000016,DGH/15000040,09-04-2015,,,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,3094.00,1298325.94,1547.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,162291.00,0.00,0.00,0.00,58425.00,0.00,14606.00,0.00
PB000047,PB0000034,14-04-2015,Hindalco,RCPT0000000015,DGH/15000024,08-04-2015,,,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,2963.00,1243354.80,1481.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155419.00,0.00,0.00,0.00,55951.00,0.00,13988.00,0.00
PB000048,PB0000042,15-04-2015,Bharat Box Company,RCPT0000000060,013,13-04-2015,,13-04-2015,INR,CORRUGATED BOXES,CORRUGATED BOX-PT-10 INTERLOCK,PCS,1503.00,19539.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,782.00,0.00,195.00,0.00
PB000049,PB0000024,13-04-2015,Hindalco,RCPT0000000006,DCR/15000109,10-04-2015,,,INR,RAW MATERIAL,COPPER WIRE / ROD (CENTRAL),KG,9007.00,3755919.00,0.00,0.00,0.00,0.00,0.00,0.00,42254.00,0.00,0.00,0.00,0.00,469490.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000050,PB0000025,13-04-2015,Hindalco,RCPT0000000007,DCR/15000116,10-04-2015,,,INR,RAW MATERIAL,COPPER WIRE / ROD (CENTRAL),KG,3002.00,1251834.00,0.00,0.00,0.00,0.00,0.00,0.00,14083.00,0.00,0.00,0.00,0.00,156479.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000051,PB0000023,13-04-2015,Wirex Dies & Steel (I) Pvt. Ltd.,RCPT0000000010,77,09-04-2015,,,INR,WIRE DRAWING COOLANT,COOLANT FOR COPPER FWD,L,615.00,114213.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2570.00,0.00,0.00,0.00,14277.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,COOLANT FOR COPPER RBD,L,1640.00,264024.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5941.00,0.00,0.00,0.00,33003.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000052,PB0000030,14-04-2015,Hindalco,RCPT0000000011,DGH/15000022,08-04-2015,,,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,2355.00,988221.58,1177.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123528.00,0.00,0.00,0.00,44470.00,0.00,11117.00,0.00
PB000058,PB0000055,18-04-2015,Bharat Box Company,RCPT0000000061,021,17-04-2015,,17-04-2015,INR,CORRUGATED BOXES,"CORRUGATED BOX - PT-25- 9.25X 9.25X 11.25"" 3PLY",PCS,2840.00,31240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1250.00,0.00,312.00,0.00
PB000059,PB0000054,18-04-2015,Hindalco,RCPT0000000011,DCR/15000229,16-04-2015,,17-04-2015,INR,RAW MATERIAL,COPPER WIRE / ROD (CENTRAL),KG,8924.00,3721308.00,0.00,0.00,0.00,0.00,0.00,0.00,41865.00,0.00,0.00,0.00,0.00,465164.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000060,PB0000058,20-04-2015,S.S.Packaging,RCPT0000000063,57,18-04-2015,57,18-04-2015,INR,PACKING MATERIAL,STRECH FILM,KG,156.10,22634.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2829.00,0.00,0.00,0.00,1019.00,0.00,255.00,0.00
PB000061,PB0000059,20-04-2015,Hindalco,RCPT0000000030,DGH/15000110,18-04-2015,DGH/15000110,18-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,2750.00,1146750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,143344.00,0.00,0.00,0.00,51604.00,0.00,12901.00,0.00
PB000062,PB0000053,18-04-2015,Hindalco,RCPT0000000010,DCR/15000231,16-04-2015,,17-04-2015,INR,RAW MATERIAL,COPPER WIRE / ROD (CENTRAL),KG,2958.00,1233486.00,0.00,0.00,0.00,0.00,0.00,0.00,13877.00,0.00,0.00,0.00,0.00,154186.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000063,PB0000060,20-04-2015,Hindalco,RCPT0000000031,DGH/15000111,18-04-2015,DGH/15000111,18-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,2999.00,1250583.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156323.00,0.00,0.00,0.00,56276.00,0.00,14069.00,0.00
PB000064,PB0000032,14-04-2015,Hindalco,RCPT0000000014,DGH/15000023,08-04-2015,,,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,2725.00,1143483.58,1362.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142935.00,0.00,0.00,0.00,51457.00,0.00,12864.00,0.00
PB000065,PB0000027,13-04-2015,Hindalco,RCPT0000000009,DGH/15000043,10-04-2015,,,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,6034.00,2516178.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314522.00,0.00,0.00,0.00,113228.00,0.00,28307.00,0.00
PB000066,PB0000022,13-04-2015,Hindalco,RCPT0000000005,DCR/15000049,08-04-2015,,08-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,5956.00,2499298.41,1803.10,0.00,0.00,0.00,0.00,0.00,28117.00,0.00,0.00,0.00,0.00,312412.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000067,PB0000029,14-04-2015,Hindalco,RCPT0000000010,DGH/15000021,08-04-2015,,,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,1090.00,457393.43,545.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57174.00,0.00,0.00,0.00,20583.00,0.00,5146.00,0.00
PB000068,PB0000019,10-04-2015,Hindalco,RCPT0000000004,DCR/15000024,07-04-2015,,08-04-2015,INR,RAW MATERIAL,COPPER WIRE / ROD (CENTRAL),KG,6120.00,2525216.04,0.00,0.00,0.00,0.00,0.00,0.00,28409.00,0.00,0.00,0.00,0.00,315652.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000069,PB0000017,08-04-2015,Hindalco,RCPT0000000007,DGH/15000016,07-04-2015,,07-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,6060.00,2527020.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315878.00,0.00,0.00,0.00,113716.00,0.00,28429.00,0.00
PB000070,PB0000015,08-04-2015,Hindalco,RCPT0000000006,DGH/15000015,07-04-2015,,07-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,6041.00,2519097.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314887.00,0.00,0.00,0.00,113359.00,0.00,28340.00,0.00
PB000071,PB0000014,08-04-2015,Hindalco,RCPT0000000005,DGH/15000014,07-04-2015,,07-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,5976.00,2491992.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,311499.00,0.00,0.00,0.00,112140.00,0.00,28035.00,0.00
PB000072,PB0000026,13-04-2015,Hindalco,RCPT0000000008,DCR/15000147,11-04-2015,,,INR,RAW MATERIAL,COPPER WIRE / ROD (CENTRAL),KG,5762.00,2402754.00,0.00,0.00,0.00,0.00,0.00,0.00,27031.00,0.00,0.00,0.00,0.00,300344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000073,PB0000021,11-04-2015,Hindalco,RCPT0000000008,DGH/15000037,09-04-2015,,09-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,5914.00,2466138.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,308267.00,0.00,0.00,0.00,110976.00,0.00,27744.00,0.00
PB000081,PB0000012,08-04-2015,S.S.Packaging,RCPT0000000055,19,06-04-2015,,06-04-2015,INR,PACKING MATERIAL,STRECH FILM,KG,129.80,18821.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2353.00,0.00,0.00,0.00,847.00,0.00,212.00,0.00
PB000082,PB0000016,08-04-2015,Delhi Sales Corporation,RCPT0000000056,17,07-04-2015,,07-04-2015,INR,IRON PATTI,"IRON PATTI-1/2"" & NAILS",KG,121.42,7770.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,311.00,0.00,78.00,0.00
PB000083,PB0000013,08-04-2015,Micro Inks Limited,RCPT0000000009,40945,07-04-2015,,07-04-2015,INR,THINNER,TOP COAT THINNER,KG,180.00,39960.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,899.00,0.00,0.00,0.00,4995.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000084,PB0000018,10-04-2015,ELANTAS Beck India Ltd.,RCPT0000000020,10601,09-04-2015,,09-04-2015,INR,H CLASS,TEREBEC MT 543-38,KG,4200.00,810600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18239.00,0.00,0.00,0.00,101325.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000085,PB0000087,24-04-2015,Hindalco,RCPT0000000042,DGH/15000146,23-04-2015,DGH/15000146,23-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,3006.00,1253502.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156688.00,0.00,0.00,0.00,56408.00,0.00,14102.00,0.00
PB000086,PB0000086,24-04-2015,Hindalco,RCPT0000000041,DGH/15000143,23-04-2015,DGH/15000143,23-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,5977.00,2492409.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,311551.00,0.00,0.00,0.00,112158.00,0.00,28040.00,0.00
PB000087,PB0000085,24-04-2015,Bharat Box Company,RCPT0000000070,031,23-04-2015,031,23-04-2015,INR,CORRUGATED BOXES,"CORRUGATED BOX- PT-12"" 10.75X10.75X8",PCS,706.00,11825.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,473.00,0.00,118.00,0.00
PB000088,PB0000084,24-04-2015,Micro Inks Limited,RCPT0000000023,1993,16-04-2015,1993,23-04-2015,INR,POLYESTER,MILESTER M/M,KG,1050.00,109200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2457.00,0.00,0.00,0.00,13650.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000089,PB0000083,24-04-2015,Hindalco,RCPT0000000040,DGH/15000142,23-04-2015,DGH/15000142,23-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,6040.00,2518680.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314835.00,0.00,0.00,0.00,113341.00,0.00,28335.00,0.00
PB000090,PB0000082,24-04-2015,SSK CHEMICALS PVT. LTD.,RCPT0000000022,032,22-04-2015,032,22-04-2015,INR,ENAMEL,VAR-HIGH SPEED,KG,4200.00,378000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8505.00,0.00,0.00,0.00,47250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000091,PB0000081,24-04-2015,Hindalco,RCPT0000000018,DCR/15000328,22-04-2015,DCR/15000328,23-04-2015,INR,RAW MATERIAL,COPPER WIRE / ROD (CENTRAL),KG,2622.00,1093374.00,0.00,0.00,0.00,0.00,0.00,0.00,12300.00,0.00,0.00,0.00,0.00,136672.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000092,PB0000080,24-04-2015,Hindalco,RCPT0000000017,DCR/15000327,22-04-2015,DCR/15000327,23-04-2015,INR,RAW MATERIAL,COPPER WIRE / ROD (CENTRAL),KG,2612.00,1089204.00,0.00,0.00,0.00,0.00,0.00,0.00,12254.00,0.00,0.00,0.00,0.00,136151.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000093,PB0000079,24-04-2015,Hindalco,RCPT0000000016,DCR/15000326,22-04-2015,DCR/15000326,23-04-2015,INR,RAW MATERIAL,COPPER WIRE / ROD (CENTRAL),KG,3007.00,1253919.00,0.00,0.00,0.00,0.00,0.00,0.00,14107.00,0.00,0.00,0.00,0.00,156740.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000094,PB0000078,24-04-2015,S.M.Technosales (P) Ltd.,RCPT0000000012,0120,22-04-2015,0120,22-04-2015,INR,SPARE PARTS,MICROCLEAN CARTRIDGE FILTER 10,PCS,50.00,28000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000095,PB0000077,24-04-2015,Hindalco,RCPT0000000015,DCR/15000293,21-04-2015,DCR/15000293,22-04-2015,INR,RAW MATERIAL,COPPER WIRE / ROD (CENTRAL),KG,9017.00,3760089.00,0.00,0.00,0.00,0.00,0.00,0.00,42301.00,0.00,0.00,0.00,0.00,470011.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000096,PB0000076,24-04-2015,Hindalco,RCPT0000000039,DGH/15000122,21-04-2015,DGH/15000122,21-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,2999.00,1250583.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156323.00,0.00,0.00,0.00,56276.00,0.00,14069.00,0.00
PB000097,PB0000075,24-04-2015,Hindalco,RCPT0000000035,DGH/15000121,21-04-2015,DGH/15000121,21-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,3007.00,1253919.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156740.00,0.00,0.00,0.00,56426.00,0.00,14107.00,0.00
PB000098,PB0000074,24-04-2015,Hindalco,RCPT0000000038,DGH/15000114,18-04-2015,DGH/15000114,18-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,5987.00,2496579.00,2993.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,312072.00,0.00,0.00,0.00,112346.00,0.00,28087.00,0.00
PB000099,PB0000070,24-04-2015,VIKAS SPOOL PVT. LTD. (SUPPLIER),RCPT0000000069,153,18-04-2015,153,19-04-2015,INR,PLASTIC SPOOL,PLAS SPOOL PT- 45,PCS,204.00,42840.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,964.00,0.00,0.00,0.00,5355.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,PLAS SPOOL PT- 90,PCS,100.00,75000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1688.00,0.00,0.00,0.00,9375.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,PLAS SPOOL PT-10,PCS,2500.00,88750.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1997.00,0.00,0.00,0.00,11094.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000100,PB0000062,21-04-2015,Hindalco,RCPT0000000033,DGH/15000116,20-04-2015,DGH/15000116,20-04-2015,INR,COPPER WIRE / ROD,COPPER WIRE / ROD,KG,5983.00,2494911.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,311864.00,0.00,0.00,0.00,112271.00,0.00,28068.00,0.00
PB000101,PB0000064,21-04-2015,Hindalco,RCPT0000000014,DCR/15000276,20-04-2015,DCR/15000276,21-04-2015,INR,RAW MATERIAL,COPPER WIRE / ROD (CENTRAL),KG,9010.00,3757170.00,0.00,0.00,0.00,0.00,0.00,0.00,42268.00,0.00,0.00,0.00,0.00,469646.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB000102,PB0000063,21-04-2015,Hindalco,RCPT0000000013,DCR/15000277,20-04-2015,DCR/15000277,21-04-2015,INR,RAW MATERIAL,COPPER WIRE / ROD (CENTRAL),KG,3100.00,1292700.00,0.00,0.00,0.00,0.00,0.00,0.00,14543.00,0.00,0.00,0.00,0.00,161588.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
