,,SI000925,14-05-2015,CU37FCMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,493.235,KG,9292.550,0000010100086,0.000,0.000,0.000,0.000,0.000,10454.547,,,,,,,,
,,SI000926,14-05-2015,AL0.75MPMEDPT-90,INR,G K WINDING WIRES LTD. - FARIDABAD,236.380,KG,70.914,0000010100092,9.000,0.000,0.000,0.000,0.000,79.914,,,,,,,,
,,SI001004,18-05-2015,CU22DCMEDPT-25,INR,G K WINDING WIRES LTD. - DELHI,20.615,KG,676.584,0000010100027,85.000,0.000,0.000,0.000,0.000,761.584,,,,,,,,
,,,,CU24DCMEDPT-25,INR,G K WINDING WIRES LTD. - DELHI,20.890,KG,978.070,0000010100086,122.000,0.000,0.000,0.000,0.000,1100.070,,,,,,,,
,,SI001005,18-05-2015,CU0.87MPMEDPT-90,INR,G K WINDING WIRES LTD. - FARIDABAD,1332.675,KG,26680.154,0000010100087,3335.000,0.000,0.000,0.000,0.000,30015.154,,,,,,,,
,,SI001006,18-05-2015,AL31MPMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,148.040,KG,555.150,0000010100094,69.000,0.000,0.000,0.000,0.000,624.150,,,,,,,,
,,SI001008,18-05-2015,CU0.75DCMEDM-266,INR,G K WINDING WIRES LTD. - DELHI,22.305,KG,842.014,0000010100027,105.000,0.000,0.000,0.000,0.000,947.014,,,,,,,,
,,,,CU20HCMEDPT-25,INR,G K WINDING WIRES LTD. - DELHI,192.205,KG,7255.739,0000010100086,907.000,0.000,0.000,0.000,0.000,8162.739,,,,,,,,
,,,,CU21HCMEDPT-25,INR,G K WINDING WIRES LTD. - DELHI,292.570,KG,11044.518,0000010100086,1381.000,0.000,0.000,0.000,0.000,12425.518,,,,,,,,
,,SI001015,18-05-2015,CU19.5MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,206.455,KG,119.744,0000010100086,15.000,0.000,0.000,0.000,0.000,134.744,,,,,,,,
,,,,CU35FCMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,476.325,KG,9250.232,0000010100027,1156.000,0.000,0.000,0.000,0.000,10406.232,,,,,,,,
,,,,CU35SSMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,498.240,KG,279.014,0000010100090,35.000,0.000,0.000,0.000,0.000,314.014,,,,,,,,
,,SI001042,19-05-2015,CU40SSMEDPT-4,INR,G K WINDING WIRES LTD. - FARIDABAD,453.580,KG,8808.524,0000010100086,1101.000,0.000,0.000,0.000,0.000,9909.524,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Page 4 of,,,, 11
,"13-Jul-2015 , 3.35 PM",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,G.K. WINDING WIRES LTD,,,,,,,
,,,,,,,,,,,,,,,,,,,Sale Invoice Register,,,,,
,,,,,,,,,,,,,,,,,,,,,01-04-2015,,23-06-2015,
,,,,,,,,,,,,,,,,,,From,,,,To,,
Organisation : G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,,,,,,
,,Invoice Id,Invoice Date,Item Description,Currency,Customer,Qty,Unit,Gross,,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,CENTRAL SALES TAX PAYABLE - 2.00%,,Net Amount,,,,,,,,
,,SI001044,19-05-2015,AL29MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,718.705,KG,25909.315,0000010100094,3239.000,0.000,0.000,0.000,0.000,29148.315,,,,,,,,
