Customer Name,Invoice No.,Invoice Date,Invoice Type,Currency,Item No.,Item Name,Unit,Qty,Price,Gross Amount(Specific),"Tax
(Specific)",Discount,Net Amount(Specific),Net Amount(Base)
G K WINDING WIRES LTD. - PUNE,SI000589,29-04-2015,DIRECT INVOICE,INR,CU0.56DCSBMEDPT-25,CU0.56DCSBMEDPT-25,KG,480.380,551.290,264828.690,33104.000,0.000,297932.690,297932.690
G K WINDING WIRES LTD. - PUNE,SI000589,29-04-2015,DIRECT INVOICE,INR,CU0.87DCFINEPT-180,CU0.87DCFINEPT-180,KG,598.760,469.540,281141.770,35143.000,0.000,316284.770,316284.770
G K WINDING WIRES LTD. - PUNE,SI000589,29-04-2015,DIRECT INVOICE,INR,CU0.95DCMEDPT-180,CU0.95DCMEDPT-180,KG,1267.340,469.790,595383.659,74423.000,0.000,669806.659,669806.659
G K WINDING WIRES LTD. - PUNE,SI000589,29-04-2015,DIRECT INVOICE,INR,CU2DCMEDPT-90,CU2DCMEDPT-90,KG,1495.575,474.290,709336.267,88667.000,0.000,798003.267,798003.267
GOURAV ROSHNI LIMITED,SI000494,24-04-2015,DIRECT INVOICE,INR,CU35MPFINEPT-10,CU35MPFINEPT-10,KG,192.595,475.620,91602.034,16603.000,0.000,108205.034,108205.034
GOURAV ROSHNI LIMITED,SI000582,29-04-2015,DIRECT INVOICE,INR,CU35MPMEDPT-10,CU35MPMEDPT-10,KG,1295.500,486.220,629898.010,114168.000,0.000,744066.010,744066.010
GOURAV ROSHNI LIMITED,SI000582,29-04-2015,DIRECT INVOICE,INR,CU36MPMEDPT-10,CU36MPMEDPT-10,KG,209.640,486.220,101931.161,18475.000,0.000,120406.161,120406.161
GSP Electronics Pvt Ltd,SI000281,14-04-2015,DIRECT INVOICE,INR,CU34SSMEDPT-10,CU34SSMEDPT-10,KG,133.065,514.200,68422.023,12402.000,0.000,80824.023,80824.023
HAVELLS INDIA LTD ( HARIDWAR),SI000170,09-04-2015,DIRECT INVOICE,INR,CU36SSNYLONMEDPT-10 ,CU36SSNYLONMEDPT-10,KG,1998.625,495.490,990298.701,146069.000,0.000,1136367.701,1136367.701
HAVELLS INDIA LTD ( HARIDWAR),SI000170,09-04-2015,DIRECT INVOICE,INR,CU37SSMEDPT-10,CU37SSMEDPT-10,KG,1633.270,480.490,784769.902,115753.000,0.000,900522.902,900522.902
HAVELLS INDIA LTD ( HARIDWAR),SI000273,13-04-2015,DIRECT INVOICE,INR,CU36SSNYLONMEDPT-10 ,CU36SSNYLONMEDPT-10,KG,547.785,495.490,271421.990,40035.000,0.000,311456.990,311456.990
HAVELLS INDIA LTD ( HARIDWAR),SI000273,13-04-2015,DIRECT INVOICE,INR,CU37SSMEDPT-10,CU37SSMEDPT-10,KG,573.585,480.490,275601.857,40651.000,0.000,316252.857,316252.857
HAVELLS INDIA LTD ( HARIDWAR),SI000288,14-04-2015,DIRECT INVOICE,INR,CU36SSNYLONMEDPT-10 ,CU36SSNYLONMEDPT-10,KG,698.655,495.490,346176.566,51061.000,0.000,397237.566,397237.566
HAVELLS INDIA LTD ( HARIDWAR),SI000288,14-04-2015,DIRECT INVOICE,INR,CU37SSMEDPT-10,CU37SSMEDPT-10,KG,922.795,480.490,443393.770,65400.000,0.000,508793.770,508793.770
HAVELLS INDIA LTD ( HARIDWAR),SI000288,14-04-2015,DIRECT INVOICE,INR,CU38SSMEDPT-10,CU38SSMEDPT-10,KG,994.370,483.490,480767.951,70913.000,0.000,551680.951,551680.951
HAVELLS INDIA LTD ( HARIDWAR),SI000442,22-04-2015,DIRECT INVOICE,INR,CU36SSNYLONMEDPT-10 ,CU36SSNYLONMEDPT-10,KG,1983.560,495.490,982834.144,144968.000,0.000,1127802.144,1127802.144
HAVELLS INDIA LTD ( HARIDWAR),SI000442,22-04-2015,DIRECT INVOICE,INR,CU37SSMEDPT-10,CU37SSMEDPT-10,KG,1491.445,480.490,716624.408,105702.000,0.000,822326.408,822326.408
HONDA SIEL POWER PRODUCTS LTD,SI000025,03-04-2015,DIRECT INVOICE,INR,CU0.5DCMEDPT-45,CU0.5DCMEDPT-45,KG,680.100,493.270,335472.927,60804.000,0.000,396276.927,396276.927
HONDA SIEL POWER PRODUCTS LTD,SI000025,03-04-2015,DIRECT INVOICE,INR,CU0.8DCMEDPT-45,CU0.8DCMEDPT-45,KG,565.925,490.270,277456.050,50289.000,0.000,327745.050,327745.050
HONDA SIEL POWER PRODUCTS LTD,SI000025,03-04-2015,DIRECT INVOICE,INR,CU0.9DCMEDPT-45,CU0.9DCMEDPT-45,KG,697.560,489.270,341295.181,61860.000,0.000,403155.181,403155.181
HONDA SIEL POWER PRODUCTS LTD,SI000166,09-04-2015,DIRECT INVOICE,INR,CU0.75DCMEDPT-45,CU0.75DCMEDPT-45,KG,583.180,490.270,285915.659,51822.000,0.000,337737.659,337737.659
HONDA SIEL POWER PRODUCTS LTD,SI000451,23-04-2015,DIRECT INVOICE,INR,CU0.5DCMEDPT-45,CU0.5DCMEDPT-45,KG,535.525,497.230,266279.096,48264.000,0.000,314543.096,314543.096
HONDA SIEL POWER PRODUCTS LTD,SI000451,23-04-2015,DIRECT INVOICE,INR,CU0.9DCMEDPT-45,CU0.9DCMEDPT-45,KG,504.845,493.230,249004.699,45132.000,0.000,294136.699,294136.699
HONDA SIEL POWER PRODUCTS LTD,SI000451,23-04-2015,DIRECT INVOICE,INR,CU1.2DCMEDPT-45,CU1.2DCMEDPT-45,KG,844.875,493.230,416717.696,75530.000,0.000,492247.696,492247.696
India Nippon Electrical Ltd ( UN III ),SI000004,01-04-2015,DIRECT INVOICE,INR,CU0.75DCMEDPT-45,CU0.75DCMEDPT-45,KG,492.075,487.050,239665.129,29958.000,1354993.000,-1085369.871,-1085369.871
India Nippon Electrical Ltd ( UN III ),SI000004,01-04-2015,DIRECT INVOICE,INR,CU0.9DCMEDPT-45,CU0.9DCMEDPT-45,KG,2545.685,486.050,1237330.194,154666.000,1354993.000,37003.194,37003.194
